player,position,team,upper,lower,points,sdPts,positionRank,dropoff,tier,sdRank,risk,,,
Armand Shyne,RB,UTAH,4.9,4.9,5.2,,,28,0.28,2,0.02,,,
Jayshon Jackson,WR,CINCY,4.2,4.2,5.1,,,0,0,20,0.21,,,
Jashaun Corbin,RB,TXAM,4.5,4.5,5.1,,,24,0.12,9,0.01,,,
Jocquez Bruce,RB,MTSU,4.4,4.4,5.1,,,11,0.07,18,0.07,,,
Justin Holmes,WR,SJST,4,4,5.1,,,0,0,24,0.07,,,
A.J. Turner,RB,SC,4.4,4.4,5.1,,,30,0.08,7,0.02,,,
Connor Slomka,RB,ARMY,5.1,5.1,5.1,,,28,0.35,1,0.01,,,
Chris Taylor,WR,DUKE,4,4,5.1,,,0,0,24,0.1,,,
Daniel Barker,TE,ILL,3.9,3.9,5.1,,,0,0,20,0.11,,,
Dylan Collie,WR,BYU,4.1,4.1,5.1,,,4,0.01,20,0.13,,,
Carlin Fils-Aime,RB,TENN,4.7,4.7,5.1,,,18,0.43,4,0.02,,,
Zachari Jackson,WR,LAMON,4.4,4.4,5.1,,,0,0,25,0.2,,,
Parker Houston,TE,SDGST,4.3,4.3,5.1,,,0,0,18,0.3,,,
DeVaughn Cooper,WR,ARIZ,4.1,4.1,5.1,,,0,0,26,0.08,,,
Michael Ezeike,WR,UCLA,4.2,4.2,5.1,,,0,0,16,0.31,,,
Tayon Fleet-Davis,RB,MD,4.8,4.8,5.1,,,24,0.19,5,0.1,,,
Kyle Horn,TE,MA,4.2,4.2,5.1,,,0,0,22,0.18,,,
Devin C. Butler,WR,CUSE,3.9,3.9,5.1,,,0,0,21,0.09,,,
Logan Wright,RB,GAS,4.9,4.9,5.1,,,31,0.26,2,0.02,,,
Reed Tyler,RB,ARKST,4,4,5.1,,,9,0.09,16,0.03,,,
Caleb Twyford,WR,TXSTSM,4.1,4.1,5,,,8,0.04,17,0.08,,,
Ra'Von Bonner,RB,ILL,4.8,4.8,5,,,27,0.31,1,0.01,,,
Xavier Lane,WR,WKY,3.9,3.9,5,,,0,0,24,0.07,,,
Chris Sharp,RB,UVA,4.3,4.3,5,,,6,0.05,10,0.36,,,
Darion Anderson,WR,GAS,4.5,4.5,5,,,0,0,20,0.35,,,
North Carolina,DEF,UNC,6.8,5,5,,,0,0,0,0,32.7,1.88,0.4
Blaze Moorhead,WR,TXSA,4.1,4.1,5,,,0,0,25,0.13,,,
Jay MacIntyre,WR,COLO,4,4,5,,,1,0,20,0.19,,,
John Stephens Jr.,WR,TCU,4.1,4.1,5,,,0,0,27,0.07,,,
BJ Busbee,WR,SDGST,4.1,4.1,5,,,3,0.01,25,0.19,,,
Brenden Schooler,WR,OREG,4.2,4.2,5,,,0,0,20,0.26,,,
T.J. Pledger,RB,OKLA,4.7,4.7,5,,,32,0.11,5,0.04,,,
Noah Gray,TE,DUKE,3.9,3.9,4.9,,,0,0,21,0.14,,,
Christian Malloy,RB,GATECH,4.7,4.7,4.9,,,26,0.18,6,0.07,,,
Deddrick Thomas,WR,MISSST,4,4,4.9,,,0,0,23,0.14,,,
Moral Stephens,TE,FLA,4.2,4.2,4.9,,,0,0,19,0.25,,,
T. J. Bedford,WR,TXSTSM,3.9,3.9,4.9,,,0,0,24,0.08,,,
Jared Sparks,WR,PURDUE,3.8,3.8,4.9,,,3,0.01,20,0.07,,,
Kam Martin,RB,AUBURN,4.4,4.4,4.9,,,26,0.08,8,0.02,,,
Alec Sinkfield,RB,WVU,3.9,3.9,4.9,,,11,0.04,16,0.02,,,
Alex James,RB,CSTCAR,4.5,4.5,4.9,,,27,0.19,3,0.11,,,
UL Lafayette,DEF,LALAF,7.6,4.9,4.9,,,0,0,0,0,38,1.54,1.05
Sam Mays,WR,ILL,3.8,3.8,4.9,,,0,0,22,0.09,,,
Chase Brown,RB,WMICH,4.3,4.3,4.9,,,27,0.13,7,0.02,,,
Farrod Green,TE,MISSST,4,4,4.9,,,0,0,22,0.15,,,
Drew Sample,TE,WASH,3.9,3.9,4.9,,,0,0,23,0.11,,,
Elijah Moore,WR,MISS,3.9,3.9,4.9,,,0,0,19,0.18,,,
Matt Sokol,TE,MICHST,4,4,4.9,,,0,0,22,0.15,,,
Jarrison Stewart,WR,TCU,3.6,3.6,4.9,,,1,0,18,0.09,,,
Henry Pearson,TE,APLST,4.1,4.1,4.9,,,0,0,27,0.1,,,
Brant Kuithe,TE,UTAH,3.9,3.9,4.8,,,0,0,23,0.13,,,
C.J. Conrad,TE,UK,3.8,3.8,4.8,,,0,0,16,0.2,,,
Kailon Carter,WR,UAB,4.1,4.1,4.8,,,2,0,27,0.08,,,
Josh Palmer,WR,TENN,4.2,4.2,4.8,,,1,0,26,0.13,,,
Arizona,DEF,ARIZ,7.2,4.8,4.8,,,0,0,0,0,30.4,2.16,0.77
Christoph Henle,TE,BAYLOR,3.8,3.8,4.8,,,0,0,21,0.13,,,
Garland LaFrance,RB,WKY,3.6,3.6,4.8,,,11,0.08,9,0.02,,,
Geraud Sanders,WR,AF,4,4,4.8,,,0,0,26,0.1,,,
Saevion Johnson,RB,FRESNO,4.4,4.4,4.7,,,19,0.26,6,0.03,,,
Louisville,DEF,LVILLE,7.8,4.7,4.7,,,0,0,0,0,44.4,1.8,1.2
Xavier Gaines,TE,MRSHL,3.8,3.8,4.7,,,1,0,19,0.16,,,
Javon Leake,RB,MD,4.6,4.6,4.7,,,17,0.43,2,0.01,,,
Jaquarii Roberson,WR,WAKE,3.8,3.8,4.7,,,0,0,24,0.1,,,
Matt Dotson,TE,MICHST,4,4,4.7,,,0,0,19,0.22,,,
Dejonte O'Neal,RB,FRESNO,4,4,4.7,,,15,0.09,13,0.03,,,
Cole Tucker,WR,NILL,3.6,3.6,4.7,,,0,0,20,0.1,,,
UNLV,DEF,UNLV,7.6,4.7,4.7,,,0,0,0,0,41.8,1.63,1.02
Mychal Cooper,WR,NAVY,4.2,4.2,4.7,,,1,0,19,0.29,,,
Greg Bell,RB,NEB,3.9,3.9,4.7,,,29,0.07,4,0.01,,,
Marlon Williams,WR,UCF,3.7,3.7,4.7,,,1,0,18,0.13,,,
Nolan Edmonds,RB,MINN,4.3,4.3,4.7,,,22,0.14,8,0.06,,,
Mike Delich,RB,MINN,4.3,4.3,4.7,,,22,0.14,8,0.06,,,
Dominik London,RB,MINN,4.3,4.3,4.7,,,22,0.14,8,0.06,,,
Madre London,RB,TENN,4.4,4.4,4.7,,,20,0.32,2,0.03,,,
Tre' McKitty,TE,FSU,3.5,3.5,4.7,,,0,0,21,0.12,,,
John Bates,TE,BOISE,3.8,3.8,4.7,,,0,0,19,0.16,,,
Terrell Green,WR,ECU,3.7,3.7,4.7,,,0,0,23,0.06,,,
Marquez McNair,WR,TXSA,3.7,3.7,4.7,,,0,0,22,0.11,,,
Rhashid Bonnette,WR,LATECH,3.6,3.6,4.7,,,1,0,24,0.04,,,
Mydreon Vines,WR,ECU,3.7,3.7,4.7,,,0,0,24,0.06,,,
Rutgers,DEF,RUT,7.3,4.6,4.6,,,0,0,0,0,35.8,1.15,1.16
Asim Rose,RB,UK,4.5,4.5,4.6,,,28,0.25,1,0.01,,,
Nick Basquine,WR,OKLA,3.8,3.8,4.6,,,0,0,22,0.13,,,
Johnnie Lang,RB,IOWAST,3.7,3.7,4.6,,,8,0.07,16,0.05,,,
Derrion Grim,WR,FRESNO,4,4,4.6,,,1,0,19,0.24,,,
CJ Williams,RB,NAVY,4.2,4.2,4.6,,,18,0.11,14,0.01,,,
Trevor Terry,WR,USM,3.8,3.8,4.6,,,0,0,26,0.06,,,
Terry Juniel,WR,UTEP,3.7,3.7,4.6,,,0,0,25,0.1,,,
Raymond Calais,RB,LALAF,4.4,4.4,4.6,,,29,0.13,5,0.01,,,
Thomas Jackson,WR,UNC,3.6,3.6,4.6,,,0,0,16,0.17,,,
Armond Weh-Weh,RB,ARKST,4.3,4.3,4.6,,,25,0.09,9,0.03,,,
Nahshon Ellerbe,RB,RICE,4.3,4.3,4.6,,,19,0.34,3,0.01,,,
Brandon Childress,WR,CMICH,3.4,3.4,4.6,,,0,0,23,0.06,,,
Oregon State,DEF,OREGST,7.2,4.6,4.6,,,0,0,0,0,35.5,1.23,0.93
Grant Perry,WR,MICH,3.5,3.5,4.6,,,0,0,18,0.11,,,
Brian Robinson Jr.,RB,BAMA,4.3,4.3,4.6,,,31,0.1,4,0.02,,,
Willie Parker,RB,EMICH,4.3,4.3,4.5,,,23,0.22,4,0.02,,,
Baylor,DEF,BAYLOR,7.4,4.5,4.5,,,0,0,0,0,41.4,2.33,0.94
Malik Knowles,WR,KSTATE,3.5,3.5,4.5,,,0,0,21,0.08,,,
Gunner Romney,WR,BYU,3.8,3.8,4.5,,,0,0,20,0.16,,,
Jay Griffin IV,WR,NMEX,3.5,3.5,4.5,,,3,0.03,18,0.09,,,
Marcelias Sutton,RB,OKLA,4.3,4.3,4.5,,,22,0.23,4,0.04,,,
Tre Turner,WR,VATECH,3.8,3.8,4.5,,,0,0,23,0.15,,,
Isiah Macklin,WR,SDGST,3.7,3.7,4.5,,,0,0,25,0.07,,,
Devin Asiasi,TE,UCLA,3.9,3.9,4.5,,,0,0,20,0.21,,,
Sean Ryan,WR,TEMPLE,3.7,3.7,4.5,,,0,0,20,0.17,,,
Cole Herdman,TE,PURDUE,3.5,3.5,4.5,,,0,0,22,0.08,,,
Shocky Jacques-Louis,WR,PITT,3.2,3.2,4.5,,,6,0.01,19,0.06,,,
Justin Silmon,RB,KSTATE,4.2,4.2,4.5,,,29,0.19,2,0.01,,,
Trevon Wesco,TE,WVU,3.6,3.6,4.4,,,0,0,20,0.13,,,
James Cook,RB,UGA,4,4,4.4,,,24,0.08,8,0.02,,,
Jahrvis Davenport,WR,MD,3.6,3.6,4.4,,,0,0,20,0.16,,,
Akilian Butler,WR,BOISE,3.4,3.4,4.4,,,0,0,16,0.13,,,
Andrew Smith,WR,AF,3.8,3.8,4.4,,,0,0,21,0.2,,,
Pat Freiermuth,TE,PSU,3.7,3.7,4.4,,,0,0,16,0.26,,,
Justin Allen,WR,FRESNO,3.4,3.4,4.4,,,0,0,19,0.1,,,
A.D. Miller,WR,OKLA,3.5,3.5,4.4,,,0,0,16,0.3,,,
Brady Bodine,RB,NCST,4.1,4.1,4.4,,,15,0.34,4,0.01,,,
Kade Waguespack,TE,AF,3.8,3.8,4.4,,,0,0,21,0.2,,,
Connor Brown,TE,OHIO,3.7,3.7,4.4,,,0,0,20,0.18,,,
Charlie Woerner,TE,UGA,3.5,3.5,4.4,,,0,0,20,0.12,,,
Bernhard Raimann,TE,CMICH,3.4,3.4,4.3,,,0,0,19,0.1,,,
John Raine,TE,FAU,3.2,3.2,4.3,,,0,0,16,0.08,,,
Tony Gaiter IV,WR,FIU,3.4,3.4,4.3,,,0,0,17,0.1,,,
Drew Tejchman,WR,UNLV,3.3,3.3,4.3,,,1,0,15,0.11,,,
Derrick Dillon,WR,LSU,3.5,3.5,4.3,,,2,0.01,19,0.14,,,
Keyion Dixon,WR,UCONN,3.6,3.6,4.3,,,1,0,17,0.17,,,
Earnest Patterson,WR,LALAF,3.6,3.6,4.3,,,0,0,23,0.1,,,
Josh Fields,RB,UTEP,3.8,3.8,4.3,,,18,0.08,9,0.02,,,
Daylon Charlot,WR,KANSAS,3.5,3.5,4.3,,,0,0,18,0.14,,,
Josh Pederson,TE,LAMON,3.5,3.5,4.3,,,0,0,16,0.21,,,
Workpeh Kofa,WR,CHARLO,3.2,3.2,4.3,,,0,0,17,0.07,,,
Dee Wiggins,WR,MIAMI,3.4,3.4,4.3,,,0,0,19,0.09,,,
Ryeshene Bronson,WR,SFLA,3.5,3.5,4.3,,,0,0,20,0.12,,,
Tony Brown,WR,COLO,3.3,3.3,4.3,,,0,0,19,0.08,,,
Desmond Phillips,WR,TOLEDO,3.4,3.4,4.3,,,0,0,16,0.17,,,
Thai Cottrell,WR,SJST,3.3,3.3,4.3,,,1,0.01,17,0.06,,,
Dontay Demus,WR,MD,3.5,3.5,4.3,,,0,0,23,0.06,,,
Mechane Slade,WR,MEMP,3.7,3.7,4.3,,,0,0,14,0.28,,,
Zach Austin,WR,TXTECH,3,3,4.3,,,0,0,19,0.08,,,
Kendall Blanton,TE,MIZZOU,3.4,3.4,4.3,,,0,0,17,0.15,,,
Calen Holt,RB,ARMY,4.1,4.1,4.3,,,24,0.18,6,0.01,,,
Giovanni Fauolo,TE,UNLV,3.1,3.1,4.2,,,0,0,14,0.11,,,
Mon Denson,RB,SC,4,4,4.2,,,20,0.22,4,0.02,,,
Nathan Cottrell,RB,GATECH,4,4,4.2,,,26,0.19,2,0.01,,,
Stanley Berryhill III,WR,ARIZ,3.5,3.5,4.2,,,0,0,20,0.13,,,
Mike Williams,WR,NEB,3.3,3.3,4.2,,,0,0,21,0.06,,,
Trevor Hohlt,WR,BALLST,3.4,3.4,4.2,,,0,0,23,0.04,,,
Justin Johnson,TE,MISSST,3.4,3.4,4.2,,,0,0,20,0.09,,,
LSU,DEF,LSU,6.7,4.2,4.2,,,0,0,0,0,34.1,1.6,0.77
Jesse Jackson,WR,MISSST,3.3,3.3,4.2,,,0,0,17,0.1,,,
Kiel Pollard,TE,SC,3.3,3.3,4.2,,,0,0,15,0.15,,,
Diondre Champaigne,WR,GAST,3.1,3.1,4.2,,,0,0,16,0.24,,,
Drew Rosi,TE,TOLEDO,3.5,3.5,4.2,,,0,0,21,0.13,,,
Jaelan Austin,WR,TCU,3.4,3.4,4.1,,,0,0.09,14,0.13,,,
Obe Fortune,WR,GAS,3.4,3.4,4.1,,,0,0,19,0.17,,,
Demarcus Felton,RB,TXTECH,3.8,3.8,4.1,,,18,0.22,3,0.02,,,
Roger Carter,TE,GAST,3.4,3.4,4.1,,,0,0,14,0.22,,,
Chandler Smith,RB,HOU,3.8,3.8,4.1,,,24,0.09,6,0.03,,,
Sean McKeon,TE,MICH,3.2,3.2,4.1,,,0,0,15,0.16,,,
Kam McKnight,WR,LATECH,3.7,3.7,4.1,,,11,0.26,6,0.03,,,
Mark Quattlebaum,WR,CHARLO,3.2,3.2,4.1,,,0,0,15,0.18,,,
Daniel Helm,TE,DUKE,3.2,3.2,4.1,,,0,0,16,0.12,,,
Brandon Johnson,WR,TENN,3.3,3.3,4.1,,,0,0,20,0.09,,,
Andrew Van Buren,RB,BOISE,3.8,3.8,4.1,,,17,0.21,5,0.02,,,
Seth Dawkins,WR,LVILLE,3.2,3.2,4.1,,,0,0,19,0.08,,,
Brendan Harmon,WR,RICE,3.3,3.3,4.1,,,0,0,12,0.22,,,
Jabril Clewis,WR,TULANE,3.1,3.1,4.1,,,0,0,19,0.07,,,
Dymond Lee,WR,UCLA,3.1,3.1,4,,,0,0,17,0.08,,,
Myles Tease,WR,OKLA,3.4,3.4,4,,,0,0,15,0.22,,,
Chris Myarick,TE,TEMPLE,3.2,3.2,4,,,0,0,18,0.1,,,
Drake Harris,WR,MICH,3.1,3.1,4,,,0,0,16,0.1,,,
Israel Tucker,RB,LATECH,3.5,3.5,4,,,23,0.08,4,0.01,,,
Brigham Young,DEF,BYU,6.4,4,4,,,0,0,0,0,31.6,1.55,0.54
Kayin White,RB,LAMON,3.5,3.5,4,,,21,0.18,3,0.02,,,
Cameron Scarlett,RB,STNFRD,3.7,3.7,4,,,17,0.24,4,0.01,,,
D.J. Matthews,WR,FSU,2.8,2.8,4,,,0,0,18,0.07,,,
Cole Kmet,TE,ND,3,3,4,,,0,0,16,0.08,,,
Erik Brown,WR,UTEP,3.2,3.2,3.9,,,0,0,22,0.05,,,
Trey Sneed,RB,RUT,3.2,3.2,3.9,,,10,0.03,13,0.02,,,
Darrius Scott,WR,FIU,3.2,3.2,3.9,,,-1,0,21,0.08,,,
Khalil Shakir,WR,BOISE,3.4,3.4,3.9,,,6,0.12,11,0.07,,,
Trevon Grimes,WR,FLA,3.1,3.1,3.9,,,0,0,17,0.09,,,
Kyle Penniston,TE,WISC,3.4,3.4,3.9,,,0,0,11,0.3,,,
Milan Richard,TE,CLEM,3.1,3.1,3.9,,,0,0,18,0.09,,,
Zion Roland,WR,SFLA,3.3,3.3,3.9,,,0,0,21,0.1,,,
Tykee Ogle-Kellogg,WR,TXSA,3.3,3.3,3.9,,,0,0,17,0.16,,,
Christopher Brown Jr.,RB,CAL,3.6,3.6,3.9,,,15,0.25,3,0.02,,,
Colby Parkinson,TE,STNFRD,3.1,3.1,3.9,,,0,0,16,0.14,,,
Ohio,DEF,OHIO,6.3,3.9,3.9,,,0,0,0,0,31.6,1.21,0.56
Ricky Slade,RB,PSU,3.3,3.3,3.9,,,18,0.31,3,0.01,,,
Chris James,RB,WISC,3.7,3.7,3.9,,,24,0.14,3,0.02,,,
Jalen Virgil,WR,APLST,3.3,3.3,3.9,,,1,0,21,0.08,,,
Calvin Jackson Jr.,WR,WASHST,2.9,2.9,3.8,,,0,0,14,0.09,,,
Dominic Stampley,WR,ILL,3.3,3.3,3.8,,,2,0.01,15,0.18,,,
Travis Levy,RB,BC,3.2,3.2,3.8,,,8,0.06,14,0.02,,,
Martell Pettaway,RB,WVU,3.5,3.5,3.8,,,22,0.09,3,0.06,,,
Micah Simon,WR,BYU,3.2,3.2,3.8,,,3,0,18,0.07,,,
Johnny Lumpkin,TE,LALAF,3,3,3.8,,,0,0,17,0.1,,,
Tru Wilson,RB,MICH,3.5,3.5,3.8,,,23,0.08,4,0.02,,,
Jordan Nettles,RB,NILL,3.2,3.2,3.8,,,28,0.07,1,0.02,,,
Isaac Holder,WR,EMICH,3.1,3.1,3.8,,,0,0,14,0.18,,,
Elijah Kothe,WR,SDGST,3,3,3.8,,,0,0,17,0.08,,,
Tevin Bush,RB,WVU,3.3,3.3,3.8,,,11,0.04,13,0.07,,,
Xazavian Valladay,RB,WYO,3.6,3.6,3.8,,,25,0.11,3,0.02,,,
Kene Nwangwu,RB,IOWAST,3.3,3.3,3.8,,,14,0.07,9,0.05,,,
Rontavius Groves,WR,UNC,3,3,3.8,,,0,0,20,0.05,,,
Dalvin Warmack,RB,KSTATE,3.5,3.5,3.8,,,18,0.07,6,0.1,,,
Dominick Wood-Anderson,TE,TENN,3.1,3.1,3.8,,,0,0,11,0.24,,,
Charles Jones II,TE,TULANE,2.8,2.8,3.8,,,0,0,12,0.12,,,
Tate Martell,QB,OHIOST,3.7,3.7,3.8,41,0.5,2,0.02,0,0,,,
Brodrick Yancy,WR,TEMPLE,3,3,3.7,,,0,0,23,0.05,,,
Davis Koppenhaver,TE,DUKE,3,3,3.7,,,0,0,11,0.2,,,
Patrick Reed,WR,NMEX,3.2,3.2,3.7,,,1,0.01,18,0.12,,,
Kano Dillon,TE,OREG,3.2,3.2,3.7,,,0,0,15,0.18,,,
Alan Busey,WR,UTEP,3,3,3.7,,,0,0,19,0.05,,,
San Jose State,DEF,SJST,6.2,3.7,3.7,,,0,0,0,0,31.9,1.73,0.65
Trevion Thompson,WR,CLEM,2.9,2.9,3.7,,,0,0,17,0.08,,,
Zack Dobson,WR,MTSU,3.2,3.2,3.7,,,12,0.02,10,0.07,,,
Ja'Marr Chase,WR,LSU,3,3,3.7,,,0,0,15,0.13,,,
Hawaii,DEF,HAWAII,6.5,3.7,3.7,,,0,0,0,0,38.3,1.83,0.63
Jalen Holston,RB,VATECH,3.5,3.5,3.7,,,17,0.24,1,0.02,,,
Bryce Witham,TE,MINN,3.1,3.1,3.7,,,0,0,22,0.06,,,
Colby Ransom,WR,GAS,3.2,3.2,3.7,,,0,0,16,0.2,,,
Kevin Austin,WR,ND,3,3,3.7,,,0,0,20,0.07,,,
Jonathan Ifedi,WR,GAST,2.8,2.8,3.7,,,0,0,17,0.06,,,
Laress Nelson,WR,MICHST,2.9,2.9,3.7,,,0,0,18,0.07,,,
Eltoro Allen,RB,UTAHST,3,3,3.7,,,17,0.15,6,0.02,,,
Ray Marten,TE,BC,3.1,3.1,3.6,,,0,0,16,0.18,,,
Evan Owens,RB,UNLV,3.4,3.4,3.6,,,24,0.08,2,0.01,,,
Isaiah Smalls,TE,OREGST,2.9,2.9,3.6,,,0,0,17,0.08,,,
Trevor Speights,RB,STNFRD,3.4,3.4,3.6,,,23,0.09,3,0.01,,,
David Bouvier,WR,UK,3,3,3.6,,,0,0,15,0.15,,,
Matt Barnes,TE,LALAF,2.7,2.7,3.6,,,0,0,15,0.06,,,
Kobe Smith,WR,SDGST,3,3,3.6,,,0,0,20,0.06,,,
Kyle Schrank,TE,BALLST,2.9,2.9,3.6,,,0,0,14,0.15,,,
Sal Cannella,TE,AUBURN,2.9,2.9,3.6,,,0,0,11,0.19,,,
JJ Jefferson,WR,NWEST,3,3,3.6,,,0,0,16,0.13,,,
East Carolina,DEF,ECU,6.7,3.6,3.6,,,0,0,0,0,47.2,3.13,0.55
Stephen Sullivan,WR,LSU,2.8,2.8,3.6,,,2,0.01,15,0.04,,,
Emari Demercado,RB,TCU,3.3,3.3,3.6,,,23,0.07,3,0.02,,,
Rashod Berry,TE,OHIOST,3.1,3.1,3.6,,,0,0,10,0.28,,,
Kenny Yeboah,TE,TEMPLE,2.9,2.9,3.6,,,0,0,16,0.12,,,
Tavares Kelly,WR,UVA,2.5,2.5,3.6,,,1,0,19,0.07,,,
Daniel Arias,WR,COLO,3.1,3.1,3.6,,,0,0,16,0.17,,,
Ryan Jenkins,WR,ARIZST,2.8,2.8,3.6,,,0,0,18,0.06,,,
Nolan Givan,TE,BALLST,2.7,2.7,3.6,,,0,0,11,0.14,,,
Drayton Law,WR,CMICH,2.8,2.8,3.6,,,0,0,18,0.05,,,
Josh Vann,WR,SC,2.8,2.8,3.6,,,0,0,16,0.07,,,
K.C. Crosby,TE,SC,2.9,2.9,3.6,,,0,0,16,0.11,,,
Mac Hippenhammer,WR,PSU,3,3,3.6,,,0,0,18,0.12,,,
Robert Mahone,RB,BOISE,3,3,3.5,,,13,0.09,6,0.02,,,
Brandon Sowards,WR,MICHST,2.7,2.7,3.5,,,0,0,18,0.07,,,
TreVontae Hights,WR,TCU,3,3,3.5,,,0,0,15,0.16,,,
C.J. Saunders,WR,OHIOST,2.6,2.6,3.5,,,1,0,13,0.14,,,
Tony Poljan,QB,CMICH,3.5,3.5,3.5,71,0.24,0,0,0,0,,,
Landen Akers,WR,IOWAST,3,3,3.5,,,0,0,20,0.08,,,
Brandius Batiste,WR,LAMON,2.9,2.9,3.5,,,0,0,14,0.16,,,
Micky Crum,TE,LVILLE,2.7,2.7,3.5,,,0,0,15,0.06,,,
Zahneer Shuler,RB,NMEX,3.3,3.3,3.5,,,16,0.23,2,0.01,,,
Xzaviar Campbell,RB,UNLV,3.2,3.2,3.5,,,23,0.06,3,0.01,,,
Luke Whittemore,WR,TROY,2.8,2.8,3.5,,,0,0,17,0.08,,,
Ikechukwu Ogwuegbu,RB,MD,3.3,3.3,3.5,,,25,0.08,2,0.01,,,
Shermar Thornton,WR,FIU,3,3,3.5,,,0,0,15,0.18,,,
Kedarian Jones,WR,MEMP,2.6,2.6,3.5,,,-1,0,18,0.15,,,
Kirk Johnson Jr.,WR,TXSA,2.4,2.4,3.5,,,0,0,14,0.06,,,
Richaud Floyd,WR,MIZZOU,2.5,2.5,3.4,,,0,0,17,0.06,,,
Sean McGrew,RB,WASH,3.1,3.1,3.4,,,15,0.06,10,0.01,,,
Michael Walker,WR,BC,2.5,2.5,3.4,,,3,0.01,18,0.06,,,
George Scott III,WR,LATECH,2.8,2.8,3.4,,,0,0,16,0.1,,,
Tanner Cowley,TE,UVA,2.6,2.6,3.4,,,0,0,16,0.07,,,
Riley Burt,RB,BYU,3.2,3.2,3.4,,,20,0.13,2,0.01,,,
Cam Sutton,TE,FRESNO,2.8,2.8,3.4,,,0,0,17,0.1,,,
Josh Fleeks,WR,BAYLOR,2.9,2.9,3.4,,,0,0.12,10,0.13,,,
Nick Bowers,TE,PSU,2.6,2.6,3.4,,,0,0,12,0.12,,,
Isaiah Floyd,RB,ARIZST,3,3,3.4,,,15,0.12,5,0.02,,,
C.J. Riley,WR,NCST,2.3,2.3,3.3,,,0,0,20,0.04,,,
Jahcour Pearson,WR,WKY,2.6,2.6,3.3,,,1,0,16,0.06,,,
Louisiana-Monroe,DEF,LAMON,5.4,3.3,3.3,,,0,0,0,0,33.1,1.56,0.24
Ray Hudson,TE,CAL,2.7,2.7,3.3,,,0,0,14,0.12,,,
Solomon Enis,WR,UTAH,2.8,2.8,3.3,,,0,0,14,0.16,,,
Willie Johnson,WR,MRSHL,2.5,2.5,3.3,,,0,0,15,0.1,,,
Tyler Byrd,WR,TENN,2.9,2.9,3.3,,,3,0,12,0.17,,,
Tre Walker,RB,NAVY,3.2,3.2,3.3,,,18,0.07,2,0.15,,,
Alexander Horvath,RB,PURDUE,2.8,2.8,3.3,,,5,0.13,10,0.02,,,
Kamari Pleasant,RB,WASH,3,3,3.3,,,18,0.09,4,0.01,,,
Martell Irby,RB,UCLA,2.8,2.8,3.3,,,13,0.08,6,0.02,,,
T.J. Chase,WR,CLEM,2.7,2.7,3.3,,,0,0,12,0.14,,,
Tre'shaun Harrison,WR,FSU,2.7,2.7,3.3,,,2,0,12,0.12,,,
Terrance Dixon,WR,GAST,2.6,2.6,3.3,,,0,0,16,0.06,,,
Jeremiah Hawkins,WR,CAL,2.6,2.6,3.3,,,3,0.01,14,0.06,,,
Markice Hurt Jr.,RB,BALLST,3,3,3.3,,,20,0.08,4,0.01,,,
Kevrin Justice,RB,HOU,3,3,3.3,,,15,0.09,6,0.03,,,
Nick Gibson,RB,MISSST,2.8,2.8,3.3,,,15,0.1,6,0.02,,,
Chase Brice,QB,CLEM,3.1,3.1,3.3,46,0.39,0,0.02,0,0,,,
Deangelo Antoine,WR,SFLA,2.7,2.7,3.3,,,2,0,11,0.24,,,
Chico McClatcher,WR,WASH,2.3,2.3,3.3,,,3,0.02,18,0.05,,,
Marques Jones,WR,BAYLOR,2.6,2.6,3.3,,,0,0,16,0.05,,,
Trayone Gray,RB,MIAMI,2.9,2.9,3.3,,,8,0.21,6,0.02,,,
Chad Hanaoka,RB,NWEST,2.5,2.5,3.3,,,6,0.04,9,0.02,,,
Jake Jackson,TE,UTAH,2.7,2.7,3.2,,,0,0,11,0.17,,,
Davarius Bargnare,WR,GAS,2.7,2.7,3.2,,,0,0,15,0.1,,,
Marcus Williams,TE,NMEX,2.6,2.6,3.2,,,0,0,14,0.11,,,
Yo'Heinz Tyler,WR,BALLST,2.3,2.3,3.2,,,0,0,17,0.04,,,
Brandon Polk,WR,PSU,2.8,2.8,3.2,,,0,0,15,0.14,,,
DeAndre Thompkins,WR,PSU,2.7,2.7,3.2,,,0,0,17,0.07,,,
Carson Terrell,TE,UTAHST,2.7,2.7,3.2,,,0,0,15,0.12,,,
Josh Weeks,TE,UTEP,2.7,2.7,3.2,,,0,0,17,0.09,,,
Noah Togiai,TE,OREGST,2.6,2.6,3.2,,,0,0,13,0.14,,,
TJ Green,RB,UTAH,2.9,2.9,3.2,,,18,0.09,4,0.02,,,
Dorian Baker,WR,UK,2.5,2.5,3.2,,,0,0,15,0.07,,,
Artie Henry III,WR,MRSHL,2.4,2.4,3.2,,,0,0,12,0.07,,,
Davon Tucker,RB,WMICH,2.9,2.9,3.1,,,15,0.14,4,0.02,,,
DJ Nelson,WR,UTAHST,2.5,2.5,3.1,,,1,0.06,10,0.07,,,
James Noble,RB,UAB,2.7,2.7,3.1,,,11,0.1,6,0.03,,,
Kolby Taylor,WR,OREGST,2.4,2.4,3.1,,,0,0,15,0.04,,,
David Tangipa,TE,FRESNO,2.5,2.5,3.1,,,0,0,7,0.22,,,
Tyrick James,TE,TULANE,2.4,2.4,3.1,,,0,0,15,0.05,,,
Daevon Robinson,WR,RUT,2.3,2.3,3.1,,,0,0,14,0.03,,,
