player,position,team,upper,lower,points,sdPts,positionRank,dropoff,tier,sdRank,risk,,,
Will Grier,QB,WVU,17.5,17.5,19.4,286,1.86,-4,0.11,0,0,,,
Zack Moss,RB,UTAH,16.8,16.8,19.3,,,97,0.84,12,0.08,,,
Dorian Thompson-Robinson,QB,UCLA,17.8,17.8,19.3,268,1.78,12,0.06,0,0,,,
Michael Collins,QB,TCU,18.4,18.4,19.3,228,1.46,27,0.38,0,0,,,
Willie Jones III,QB,TXSTSM,18.2,18.2,19.2,211,1.41,47,0.26,0,0,,,
Kelvin Hopkins Jr.,QB,ARMY,19,19,19.2,82,1.12,76,0.72,0,0,,,
Collin Johnson,WR,TEXAS,14.8,14.8,19.1,,,0,0,86,0.51,,,
Rondale Moore,WR,PURDUE,14.9,14.9,19,,,11,0.06,71,0.56,,,
Tua Tagovailoa,QB,BAMA,17.8,17.8,19,232,1.85,13,0.14,0,0,,,
Willie Wright,WR,FAU,15.1,15.1,19,,,11,0.02,74,0.57,,,
Greg Dortch,WR,WAKE,15,15,18.9,,,1,0,83,0.64,,,
Jovon Durante,WR,FAU,14.3,14.3,18.9,,,5,0.01,92,0.24,,,
J.K. Dobbins,RB,OHIOST,16.5,16.5,18.9,,,92,0.67,14,0.18,,,
Drew Eckels,QB,WKY,17.2,17.2,18.8,269,1.49,15,0.04,0,0,,,
Wesley Fields,RB,GAS,16.7,16.7,18.8,,,93,0.73,14,0.28,,,
Spencer Brown,RB,UAB,16.5,16.5,18.8,,,80,0.97,13,0.1,,,
Tyre Brady,WR,MRSHL,15.1,15.1,18.7,,,0,0,76,0.78,,,
Darius Bradwell,RB,TULANE,16.1,16.1,18.6,,,94,0.75,13,0.08,,,
Jayden Reed,WR,WMICH,15.1,15.1,18.5,,,1,0,74,0.94,,,
Darwin Thompson,RB,UTAHST,16.9,16.9,18.5,,,69,1.08,25,0.02,,,
John Ursua,WR,HAWAII,14.8,14.8,18.5,,,0,0.07,73,0.7,,,
LeVante Bellamy,RB,WMICH,15.6,15.6,18.5,,,96,0.58,12,0.11,,,
JD Spielman,WR,NEB,14.5,14.5,18.3,,,3,0.01,78,0.59,,,
Terren Encalade,WR,TULANE,14.5,14.5,18.3,,,5,0.01,80,0.57,,,
Trace McSorley,QB,PSU,17.8,17.8,18.2,182,1.33,37,0.46,0,0,,,
Chase Jasmin,RB,SDGST,16.4,16.4,18.1,,,71,1.06,13,0.27,,,
