Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
80,Will Fuller V,HST,wr,10,@JAX,11.5,"$5,500 "
81,Demaryius Thomas,DEN,wr,10,@ARZ,11.4,"$5,200 "
82,Chester Rogers,IND,wr,9,BUF,11.3,"$4,700 "
52,Marlon Mack,IND,rb,9,BUF,11.3,"$4,400 "
51,Nyheim Hines,IND,rb,9,BUF,11.3,"$4,300 "
94,Tyrell Williams,LAC,wr,8,TEN,11.2,"$3,800 "
53,Alex Collins,BLT,rb,10,NO,11.2,"$4,800 "
54,Kenyan Drake,MIA,rb,11,DET,11.2,"$4,900 "
335,Jaguars DST,JAX,dst,9,HST,11.2,"$3,600 "
93,DeSean Jackson,TB,wr,5,CLV,11.2,"$5,800 "
95,Danny Amendola,MIA,wr,11,DET,11.1,"$3,900 "
96,Mohamed Sanu,ATL,wr,8,NYG,11.1,"$5,200 "
55,Mark Ingram II,NO,rb,6,@BLT,11.1,"$5,900 "
97,Calvin Ridley,ATL,wr,8,NYG,11,"$6,000 "
67,Ito Smith,ATL,rb,8,NYG,10.9,"$3,800 "
68,George Kittle,SF,te,11,LAR,10.8,"$5,000 "
98,Christian Kirk,ARZ,wr,9,DEN,10.8,"$4,600 "
69,Nick Chubb,CLV,rb,11,@TB,10.7,"$3,600 "
99,Robby Anderson,NYJ,wr,11,MIN,10.5,"$4,500 "
71,Javorius Allen,BLT,rb,10,NO,10.3,"$4,500 "
70,Austin Hooper,ATL,te,8,NYG,10.3,"$4,200 "
116,Dede Westbrook,JAX,wr,9,HST,10,"$4,800 "
117,Marquise Goodwin,SF,wr,11,LAR,10,"$4,600 "
72,Greg Olsen,CAR,te,4,@PHI,10,"$4,400 "
115,Antonio Callaway,CLV,wr,11,@TB,10,"$4,300 "
336,Rams DST,LAR,dst,12,@SF,9.9,"$3,500 "
118,Charone Peake,NYJ,wr,11,MIN,9.8,"$3,000 "
119,Kenny Stills,MIA,wr,11,DET,9.7,"$4,400 "
84,Kyle Rudolph,MIN,te,10,@NYJ,9.7,"$3,900 "
83,Matt Breida,SF,rb,11,LAR,9.7,"$5,300 "
120,John Brown,BLT,wr,10,NO,9.6,"$5,700 "
121,Albert Wilson,MIA,wr,11,DET,9.5,"$4,000 "
85,O.J. Howard,TB,te,5,CLV,9.4,"$3,600 "
122,Larry Fitzgerald,ARZ,wr,9,DEN,9.3,"$4,300 "
86,Jordan Reed,WAS,te,4,DAL,9.2,"$4,800 "
124,Josh Doctson,WAS,wr,4,DAL,9.1,"$3,600 "
125,Damion Ratley,CLV,wr,11,@TB,9.1,"$3,600 "
123,Kelvin Benjamin,BUF,wr,11,@IND,9.1,"$3,500 "
126,Donte Moncrief,JAX,wr,9,HST,9,"$4,100 "
87,Evan Engram,NYG,te,9,@ATL,8.9,"$4,300 "
100,Isaiah Crowell,NYJ,rb,11,MIN,8.9,"$4,400 "
127,Josh Reynolds,LAR,wr,12,@SF,8.9,"$3,500 "
101,Wendell Smallwood,PHI,rb,9,CAR,8.8,"$4,100 "
129,Zach Pascal,IND,wr,9,BUF,8.6,"$3,600 "
128,Mike Williams,LAC,wr,8,TEN,8.6,"$3,800 "
337,Vikings DST,MIN,dst,10,@NYJ,8.4,"$3,400 "
151,Maurice Harris,WAS,wr,4,DAL,8.3,"$3,000 "
150,Taywan Taylor,TEN,wr,8,@LAC,8.3,"$3,800 "
152,Cole Beasley,DAL,wr,8,@WAS,8.3,"$3,900 "
149,Cameron Meredith,NO,wr,6,@BLT,8.3,"$3,800 "
103,C.J. Uzomah,CIN,te,9,@KC,8.2,"$3,400 "
