player,position,team,upper,lower,points,YD,TD,sdPts,dropoff,sdRank,risk,DPA,SACK,INT
Trevon Sidney,WR,USC,3.3,3.3,4,,,0,0,23,0.06,,,
Demetris Robertson,WR,UGA,3.5,3.5,4,,,4,0,18,0.12,,,
Isaiah Harris,WR,KSTATE,3,3,4,,,0,0,15,0.1,,,
Bernhard Raimann,TE,CMICH,3.1,3.1,4,,,0,0,16,0.12,,,
Saevion Johnson,RB,FRESNO,3.6,3.6,4,,,13,0.23,6,0.02,,,
Jabril Clewis,WR,TULANE,3.1,3.1,4,,,0,0,18,0.08,,,
Thomas Jackson,WR,UNC,3.1,3.1,4,,,0,0,15,0.14,,,
Davis Koppenhaver,TE,DUKE,3.2,3.2,4,,,0,0,12,0.22,,,
Hunter Thedford,TE,SMU,2.9,2.9,3.9,,,0,0,13,0.11,,,
Marcus Williams,TE,NMEX,3.2,3.2,3.9,,,0,0,16,0.16,,,
Quinn Shanbour,QB,NTEXAS,3.8,3.8,3.9,53,0.45,1,0.01,0,0,,,
Brayden El-Bakri,RB,BYU,3.3,3.3,3.9,,,6,0.07,8,0.19,,,
Milan Richard,TE,CLEM,3.1,3.1,3.9,,,0,0,17,0.09,,,
Kano Dillon,TE,OREG,3.3,3.3,3.9,,,0,0,16,0.2,,,
Derrion Grim,WR,FRESNO,3.4,3.4,3.9,,,1,0,17,0.17,,,
Connor Wedington,WR,STNFRD,3,3,3.9,,,1,0,14,0.09,,,
Maurice Gordon,RB,MTSU,3.6,3.6,3.9,,,19,0.16,4,0.02,,,
Tyler Petite,TE,USC,3.3,3.3,3.9,,,0,0,14,0.22,,,
Emmanuel Harris,WR,NMEX,3.3,3.3,3.9,,,2,0,16,0.14,,,
Roger Carter,TE,GAST,3.3,3.3,3.9,,,0,0,14,0.22,,,
Diondre Champaigne,WR,GAST,3,3,3.9,,,0,0,14,0.24,,,
Mykel Traylor-Bennett,TE,AKRON,3.2,3.2,3.9,,,3,0.16,10,0.06,,,
Josh Palmer,WR,TENN,3.2,3.2,3.9,,,1,0,19,0.09,,,
Greg White,WR,NTEXAS,3.2,3.2,3.9,,,0,0,18,0.12,,,
Nick Basquine,WR,OKLA,3.1,3.1,3.8,,,0,0,17,0.12,,,
