player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
Kyle Williams,WR,ARIZST,10.1,10.1,13,,,2,0,62,0.24,,,,
Timothy Wilson Jr.,WR,SDGST,10.1,10.1,11.7,,,0,0,46,0.68,,,,
Trevon Bradford,WR,OREGST,10.1,10.1,12.2,,,7,0.01,40,0.57,,,,
Kanawai Noa,WR,CAL,10.1,10.1,12.4,,,2,0,55,0.41,,,,
Justin Jefferson,WR,LSU,10.1,10.1,12.1,,,3,0,59,0.38,,,,
Julian Hicks,WR,CMICH,10.1,10.1,11.8,,,2,0,34,0.79,,,,
Stanley Morgan Jr.,WR,NEB,10.1,10.1,12.5,,,0,0,58,0.36,,,,
Middle Tennessee,DEF,MTSU,10,8.1,8.1,,,0,0,0,0,18.8,2.32,0.85,
Penny Hart,WR,GAST,10,10,12.3,,,0,0,64,0.32,,,,
Sean Modster,WR,BOISE,10,10,12.4,,,0,0,64,0.28,,,,
Sewo Olonilua,RB,TCU,10,10,11.5,,,39,0.42,18,0.09,,,,
Deon Jackson,RB,DUKE,9.9,9.9,11,,,52,0.5,10,0.08,,,,
Theo Howard,WR,UCLA,9.9,9.9,11.9,,,0,0,47,0.57,,,,
Old Dominion,DEF,ODU,9.9,7.9,7.9,,,0,0,0,0,24.9,2.59,0.94,
Keith Corbin,WR,HOU,9.9,9.9,11.7,,,0,0,54,0.49,,,,
New Mexico,DEF,NMEX,9.9,7.6,7.6,,,0,0,0,0,30.5,2.84,1.17,
Parris Campbell,WR,OHIOST,9.9,9.9,11.9,,,4,0.03,50,0.44,,,,
Artur Sitkowski,QB,RUT,9.9,9.9,10.4,197,1.01,1,0.02,0,0,,,,
Andre Nunez,QB,LALAF,9.9,9.9,10.7,200,1.09,-2,0.02,0,0,,,,
Anthony Anderson,RB,MRSHL,9.8,9.8,10.1,,,40,0.84,4,0.02,,,,
Nick Smith,RB,NTEXAS,9.8,9.8,10.7,,,54,0.38,8,0.13,,,,
Quintin Morris,WR,BGREEN,9.8,9.8,11.5,,,1,0,45,0.61,,,,
Southern Mississippi,DEF,USM,9.8,7.9,7.9,,,0,0,0,0,20.1,2.16,0.71,
Jalen Guyton,WR,NTEXAS,9.8,9.8,11.6,,,0,0,53,0.47,,,,
Fred Trevillion,WR,SDGST,9.7,9.7,11.9,,,1,0,64,0.24,,,,
Tulsa,DEF,TULSA,9.7,7.2,7.2,,,0,0,0,0,34.3,1.85,1.61,
Jovon Durante,WR,FAU,9.7,9.7,12.3,,,3,0.01,62,0.16,,,,
Steven Sims Jr.,WR,KANSAS,9.7,9.7,12.4,,,3,0,51,0.34,,,,
Patrick Smith,WR,MTSU,9.6,9.6,12,,,0,0,51,0.4,,,,
Trey Sermon,RB,OKLA,9.6,9.6,10.6,,,54,0.27,15,0.12,,,,
Antonio Williams,RB,UNC,9.6,9.6,10.7,,,50,0.46,9,0.08,,,,
Britain Covey,WR,UTAH,9.6,9.6,12.8,,,3,0.01,59,0.21,,,,
Jon'Vea Johnson,WR,TOLEDO,9.5,9.5,11.1,,,0,0,51,0.52,,,,
Israel Tucker,RB,LATECH,9.5,9.5,10.6,,,64,0.34,7,0.03,,,,
T.J. Hockenson,TE,IOWA,9.5,9.5,10.9,,,1,0.17,49,0.39,,,,
Oklahoma,DEF,OKLA,9.5,7.3,7.3,,,0,0,0,0,24.7,1.45,1.27,
Vanderbilt,DEF,VANDY,9.5,7.3,7.3,,,0,0,0,0,25.6,1.98,0.92,
Henry Ruggs,WR,BAMA,9.4,9.4,11,,,0,0,44,0.69,,,,
Houston,DEF,HOU,9.4,7.5,7.5,,,0,0,0,0,19.4,1.29,0.81,
Taj McGowan,RB,UCF,9.4,9.4,9.7,,,43,0.72,4,0.03,,,,
Xavier Jones,RB,SMU,9.4,9.4,10.5,,,47,0.38,13,0.05,,,,
Evan Marshman,QB,RICE,9.3,9.3,10.5,186,0.98,9,0.06,0,0,,,,
North Carolina State,DEF,NCST,9.3,7,7,,,0,0,0,0,31.4,2.2,1.29,
Quardraiz Wadley,RB,UTEP,9.3,9.3,10.5,,,54,0.16,17,0.16,,,,
Wyoming,DEF,WYO,9.3,7.2,7.2,,,0,0,0,0,27,1.94,0.87,
Kam McKnight,WR,LATECH,9.3,9.3,10,,,24,0.68,14,0.15,,,,
Tyler Badie,RB,MIZZOU,9.3,9.3,10.3,,,56,0.18,19,0.03,,,,
Thomas Hennigan,WR,APLST,9.3,9.3,11.5,,,0,0,54,0.3,,,,
UAB,DEF,UAB,9.2,7,7,,,0,0,0,0,31,2.98,0.8,
Jaret Patterson,RB,BUFF,9.2,9.2,10,,,55,0.41,6,0.03,,,,
Tyler Vander Waal,QB,WYO,9.2,9.2,9.5,132,1.04,6,0.05,0,0,,,,
DaMarkus Lodge,WR,MISS,9.2,9.2,11.8,,,0,0,59,0.27,,,,
Gerold Bright,WR,UTAHST,9.2,9.2,10.1,,,41,0.27,19,0.13,,,,
Toren Young,RB,IOWA,9.2,9.2,10,,,52,0.28,11,0.14,,,,
Da'Leon Ward,RB,TXTECH,9.2,9.2,10.4,,,32,0.47,16,0.15,,,,
Johnathon Johnson,WR,MIZZOU,9.2,9.2,11,,,1,0,52,0.44,,,,
Tony Pollard,RB,MEMP,9.2,9.2,10.7,,,13,0.15,35,0.33,,,,
D.J. Knox,RB,PURDUE,9.2,9.2,10.3,,,51,0.31,12,0.08,,,,
North Carolina,DEF,UNC,9.1,7,7,,,0,0,0,0,35.4,3.06,1.16,
Nevada,DEF,NEVADA,9.1,6.8,6.8,,,0,0,0,0,32.4,2.78,0.73,
Connor Heyward,RB,MICHST,9.1,9.1,10.2,,,42,0.44,12,0.02,,,,
Ron'Quavion Tarver,WR,UTAHST,9.1,9.1,11,,,0,0,42,0.51,,,,
