player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
Clevan Thomas,WR,UK,1.8,1.8,2.2,,,0,0,11,0.04,,,,
Devonte Lee,RB,NEVADA,1.8,1.8,2.1,,,8,0.05,5,0.02,,,,
Brendan Manigo,RB,SJST,1.7,1.7,2,,,10,0.07,3,0.01,,,,
Austin Liles,WR,SJST,1.7,1.7,2.2,,,0,0,12,0.02,,,,
Tre Miller,RB,UTAHST,1.7,1.7,2,,,10,0.07,2,0.02,,,,
Tyraiq Beals,WR,UCONN,1.7,1.7,2.3,,,0,0,11,0.03,,,,
Daevon Robinson,WR,RUT,1.7,1.7,2.3,,,0,0,10,0.03,,,,
Brandon Sinclair,RB,ODU,1.7,1.7,2.1,,,11,0.06,4,0.02,,,,
Giovanni Gentosi,RB,RICE,1.7,1.7,1.9,,,10,0.05,2,0.01,,,,
T.J. Chase,WR,CLEM,1.7,1.7,2.2,,,0,0,9,0.04,,,,
Rhett Cardwell,WR,RICE,1.7,1.7,2.3,,,0,0,9,0.04,,,,
Nick Gibson,RB,MISSST,1.7,1.7,2.1,,,10,0.06,3,0.01,,,,
Morian Walker Jr.,RB,UTAHST,1.6,1.6,1.9,,,7,0.07,4,0.02,,,,
Darius Wise,WR,COLOST,1.6,1.6,2.2,,,0,0,8,0.06,,,,
Charles McClelland,RB,CINCY,1.6,1.6,1.9,,,9,0.05,2,0.01,,,,
Heron Maurisseau,WR,UCONN,1.6,1.6,2.2,,,0,0,8,0.03,,,,
De'Quan Bowman,WR,TXTECH,1.6,1.6,2.9,,,1,0,11,0.22,,,,
Keoni-Kordell Mahekau,RB,NAVY,1.6,1.6,1.7,,,10,0.08,1,0.01,,,,
Tyjon Lindsey,WR,NEB,1.6,1.6,2.4,,,2,0.01,9,0.06,,,,
Alex Fontenot,RB,COLO,1.6,1.6,1.9,,,7,0.04,4,0.01,,,,
Keegan Cossou,TE,CMICH,1.6,1.6,2.2,,,0,0,5,0.07,,,,
Jaeger Bull,TE,RICE,1.5,1.5,2.2,,,0,0,4,0.08,,,,
Will Swinney,WR,CLEM,1.5,1.5,2,,,0,0,7,0.04,,,,
Jeremy Banks,RB,TENN,1.5,1.5,2,,,12,0.11,2,0.01,,,,
Will Drawdy,RB,WAKE,1.5,1.5,1.6,,,6,0.06,3,0.01,,,,
Keyan Williams,WR,BALLST,1.4,1.4,1.9,,,0,0,7,0.03,,,,
Artayvious Lynn,TE,TCU,1.4,1.4,2.3,,,0,0,11,0.05,,,,
Nakia Robinson Jr.,RB,NCST,1.4,1.4,1.6,,,6,0.05,3,0.01,,,,
Hunter Hayek,WR,RUT,1.3,1.3,1.9,,,0,0,8,0.03,,,,
Bronson Boyd,WR,UTAH,1.3,1.3,1.9,,,0,0,12,0.04,,,,
Cody Scherff,TE,UNLV,1.2,1.2,1.7,,,0,0,4,0.04,,,,
Chris Curry,RB,LSU,1.1,1.1,1.3,,,2,0.08,3,0.01,,,,
Terry Mark,WR,HOU,1.1,1.1,2.5,,,0,0,11,0.08,,,,
C.J. Riley,WR,NCST,0.9,0.9,1.9,,,0,0,11,0.02,,,,
Jarrett Burgess,WR,PURDUE,0.9,0.9,1.9,,,0,0,11,0.04,,,,
